epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6253,0.92246,1.99488,0.98174,0.90708,0.78198,0.86487,0.64012,0.82116,1.46499,0.88141,0.000413669,0.000413669,0.000413669
2,47.5543,0.8606,1.13791,0.95394,0.88701,0.82984,0.88517,0.67416,0.81576,0.69656,0.88625,0.000822115,0.000822115,0.000822115
3,68.9087,0.84553,0.95145,0.95563,0.86063,0.83063,0.87975,0.65731,0.80112,0.72089,0.8952,0.00122231,0.00122231,0.00122231
4,89.7268,0.81321,0.8146,0.94258,0.9235,0.8644,0.91212,0.71481,0.75229,0.61976,0.88702,0.00121287,0.00121287,0.00121287
5,110.62,0.78198,0.69192,0.93685,0.89553,0.88412,0.92241,0.73127,0.71223,0.57358,0.867,0.0012005,0.0012005,0.0012005
6,131.409,0.75911,0.63419,0.92202,0.91777,0.90637,0.93925,0.7207,0.73219,0.54804,0.87024,0.00118812,0.00118812,0.00118812
7,152.081,0.7418,0.61076,0.92369,0.89305,0.88938,0.92273,0.74053,0.68922,0.53647,0.86695,0.00117575,0.00117575,0.00117575
8,173.091,0.71978,0.57246,0.91434,0.89885,0.8971,0.92964,0.74526,0.68586,0.52554,0.86486,0.00116337,0.00116337,0.00116337
9,193.976,0.70764,0.55203,0.90733,0.89636,0.89991,0.91166,0.74178,0.67625,0.50768,0.86876,0.001151,0.001151,0.001151
10,214.99,0.69449,0.54587,0.90924,0.92733,0.90455,0.93444,0.75636,0.68204,0.47721,0.85161,0.00113863,0.00113863,0.00113863
11,236.066,0.67667,0.52136,0.89904,0.93924,0.86601,0.93556,0.75755,0.68391,0.48674,0.87047,0.00112625,0.00112625,0.00112625
12,256.948,0.68982,0.52364,0.90958,0.93255,0.87069,0.92138,0.74781,0.67228,0.49174,0.85732,0.00111388,0.00111388,0.00111388
13,277.735,0.6767,0.50339,0.90358,0.9258,0.9293,0.9405,0.78132,0.63844,0.4598,0.84999,0.0011015,0.0011015,0.0011015
14,298.655,0.66201,0.48733,0.89949,0.94686,0.89446,0.9314,0.77713,0.63577,0.45317,0.84314,0.00108913,0.00108913,0.00108913
15,319.38,0.65505,0.47896,0.8978,0.9159,0.88978,0.91994,0.77405,0.63633,0.45827,0.8495,0.00107675,0.00107675,0.00107675
16,340.614,0.63337,0.46732,0.89057,0.90947,0.90832,0.93641,0.77986,0.62734,0.46517,0.85345,0.00106437,0.00106437,0.00106437
17,361.525,0.64405,0.46581,0.89173,0.93558,0.9012,0.93235,0.77937,0.62266,0.44775,0.8445,0.001052,0.001052,0.001052
18,382.209,0.63121,0.44749,0.88719,0.9152,0.92381,0.94093,0.78167,0.63201,0.4423,0.85802,0.00103962,0.00103962,0.00103962
19,403.38,0.62941,0.43882,0.88644,0.93117,0.92502,0.94322,0.77598,0.62665,0.42745,0.84553,0.00102725,0.00102725,0.00102725
20,424.107,0.62425,0.4419,0.88746,0.9187,0.91528,0.93681,0.79292,0.6125,0.43801,0.8448,0.00101488,0.00101488,0.00101488
21,445.054,0.61039,0.42859,0.87907,0.91951,0.89829,0.93627,0.79161,0.60838,0.42695,0.83781,0.0010025,0.0010025,0.0010025
22,465.926,0.60697,0.42405,0.87727,0.90162,0.93888,0.93742,0.79309,0.59508,0.42125,0.83934,0.000990125,0.000990125,0.000990125
23,486.885,0.59085,0.41538,0.87371,0.90883,0.92303,0.93647,0.77946,0.60935,0.41627,0.84277,0.00097775,0.00097775,0.00097775
24,507.594,0.60688,0.42429,0.8773,0.94341,0.93033,0.94758,0.79938,0.60505,0.40015,0.84003,0.000965375,0.000965375,0.000965375
25,528.435,0.58922,0.41428,0.877,0.91813,0.92325,0.9388,0.78797,0.59037,0.41607,0.84353,0.000953,0.000953,0.000953
26,549.228,0.58004,0.40613,0.87312,0.91279,0.92515,0.94223,0.79896,0.60897,0.41255,0.84176,0.000940625,0.000940625,0.000940625
27,570.153,0.58468,0.40696,0.87255,0.89659,0.93712,0.93726,0.79689,0.58405,0.40765,0.82984,0.00092825,0.00092825,0.00092825
28,591.15,0.57975,0.40108,0.86843,0.9196,0.91629,0.94374,0.80781,0.58443,0.39713,0.83648,0.000915875,0.000915875,0.000915875
29,611.942,0.5845,0.39371,0.87462,0.92887,0.91798,0.94344,0.80088,0.5989,0.39485,0.83733,0.0009035,0.0009035,0.0009035
30,632.826,0.56893,0.38982,0.86986,0.92696,0.91725,0.94774,0.81191,0.58684,0.39011,0.83129,0.000891125,0.000891125,0.000891125
31,653.574,0.56926,0.38364,0.87092,0.93985,0.90275,0.94122,0.803,0.57834,0.38665,0.8408,0.00087875,0.00087875,0.00087875
32,674.37,0.57141,0.38139,0.8703,0.93758,0.89948,0.93963,0.81042,0.56744,0.3901,0.83481,0.000866375,0.000866375,0.000866375
33,695.54,0.56741,0.38946,0.87266,0.92625,0.92114,0.94273,0.79913,0.59285,0.40837,0.85169,0.000854,0.000854,0.000854
34,716.467,0.56259,0.38272,0.86984,0.9274,0.90962,0.94331,0.80965,0.58102,0.39287,0.83563,0.000841625,0.000841625,0.000841625
35,737.219,0.551,0.37712,0.8636,0.91739,0.93152,0.94518,0.80197,0.58433,0.3902,0.83827,0.00082925,0.00082925,0.00082925
36,758.138,0.54607,0.36226,0.86606,0.92285,0.92253,0.94269,0.80968,0.59187,0.39891,0.84716,0.000816875,0.000816875,0.000816875
37,779.22,0.5524,0.36987,0.86651,0.92765,0.91234,0.95012,0.8093,0.58277,0.38199,0.83229,0.0008045,0.0008045,0.0008045
38,800.185,0.54601,0.35921,0.86273,0.93231,0.92192,0.946,0.80369,0.58486,0.39662,0.83662,0.000792125,0.000792125,0.000792125
39,821.019,0.54099,0.3593,0.86278,0.93968,0.91279,0.95137,0.81764,0.56675,0.38883,0.83715,0.00077975,0.00077975,0.00077975
40,842.013,0.53543,0.35735,0.86057,0.94293,0.9227,0.94805,0.82042,0.57386,0.38597,0.83594,0.000767375,0.000767375,0.000767375
41,862.749,0.53441,0.35565,0.85971,0.9365,0.93724,0.94896,0.82344,0.55805,0.36659,0.82927,0.000755,0.000755,0.000755
42,883.57,0.52785,0.3536,0.85986,0.92862,0.93448,0.95141,0.82053,0.56585,0.37952,0.82833,0.000742625,0.000742625,0.000742625
43,904.635,0.53367,0.35028,0.86148,0.92346,0.93381,0.94349,0.81714,0.55067,0.38274,0.83552,0.00073025,0.00073025,0.00073025
44,925.698,0.52508,0.34826,0.8607,0.90438,0.93485,0.95129,0.8248,0.55503,0.37911,0.83101,0.000717875,0.000717875,0.000717875
45,947.487,0.52334,0.34666,0.86089,0.9356,0.92825,0.95066,0.82183,0.55564,0.38142,0.83447,0.0007055,0.0007055,0.0007055
46,968.277,0.52007,0.34406,0.86291,0.91224,0.93429,0.94723,0.81284,0.56785,0.38384,0.83145,0.000693125,0.000693125,0.000693125
47,989.317,0.51091,0.33822,0.85624,0.89967,0.9343,0.94766,0.82211,0.55957,0.3874,0.83218,0.00068075,0.00068075,0.00068075
48,1010.09,0.50217,0.32932,0.85192,0.92466,0.92674,0.94507,0.82446,0.55217,0.37013,0.83276,0.000668375,0.000668375,0.000668375
49,1030.95,0.50936,0.3415,0.85664,0.94454,0.91606,0.95077,0.82817,0.55978,0.37164,0.83179,0.000656,0.000656,0.000656
50,1051.96,0.50234,0.32655,0.84768,0.95147,0.90236,0.94926,0.82667,0.55761,0.38801,0.83467,0.000643625,0.000643625,0.000643625
