epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0138,0.93738,2.22142,0.99338,0.96451,0.36774,0.70165,0.53033,0.85492,2.44232,0.87947,0.000410714,0.000410714,0.000410714
2,42.2431,0.87089,1.17147,0.95223,0.84387,0.69504,0.78379,0.59032,0.85205,1.17196,0.90614,0.00081919,0.00081919,0.00081919
3,60.9883,0.8347,0.96409,0.94833,0.90095,0.66864,0.78495,0.59021,0.82423,1.11917,0.89985,0.00121942,0.00121942,0.00121942
4,79.5255,0.82601,0.85455,0.94605,0.8758,0.8134,0.87018,0.6611,0.76699,0.70684,0.89173,0.00121287,0.00121287,0.00121287
5,98.0285,0.79852,0.72907,0.93882,0.86617,0.86898,0.9023,0.70084,0.75526,0.64044,0.87486,0.0012005,0.0012005,0.0012005
6,116.387,0.75635,0.65161,0.92013,0.91125,0.78185,0.85582,0.65559,0.79786,0.76071,0.89633,0.00118812,0.00118812,0.00118812
7,134.853,0.74428,0.62259,0.92036,0.88393,0.89732,0.93211,0.73654,0.69985,0.59869,0.86767,0.00117575,0.00117575,0.00117575
8,153.347,0.71079,0.57334,0.90688,0.93121,0.84782,0.90153,0.72747,0.70096,0.54816,0.86327,0.00116337,0.00116337,0.00116337
9,172.181,0.71128,0.55533,0.91037,0.91212,0.87692,0.92828,0.75088,0.66218,0.50075,0.85139,0.001151,0.001151,0.001151
10,190.764,0.7021,0.5383,0.90773,0.90463,0.91429,0.93344,0.75624,0.69253,0.48563,0.87191,0.00113863,0.00113863,0.00113863
11,209.085,0.67725,0.51532,0.90115,0.89929,0.9205,0.9381,0.75872,0.6566,0.48136,0.85744,0.00112625,0.00112625,0.00112625
12,227.248,0.67787,0.51022,0.90521,0.92472,0.9276,0.94042,0.77082,0.63459,0.44972,0.85071,0.00111388,0.00111388,0.00111388
13,245.751,0.66194,0.49622,0.90011,0.95401,0.8413,0.91744,0.74659,0.65847,0.4747,0.84766,0.0011015,0.0011015,0.0011015
14,264.051,0.65576,0.47866,0.89405,0.92202,0.9154,0.9395,0.77106,0.64068,0.47031,0.84087,0.00108913,0.00108913,0.00108913
15,282.028,0.64912,0.47002,0.89742,0.91367,0.8854,0.92489,0.75875,0.63162,0.45573,0.85428,0.00107675,0.00107675,0.00107675
16,300.264,0.64397,0.46341,0.88985,0.931,0.89571,0.94693,0.7714,0.65882,0.44863,0.86231,0.00106437,0.00106437,0.00106437
17,318.647,0.63919,0.45873,0.88867,0.92407,0.92263,0.95866,0.80007,0.60809,0.42776,0.84694,0.001052,0.001052,0.001052
18,337.023,0.62668,0.45124,0.88397,0.93257,0.9025,0.93729,0.785,0.62447,0.42707,0.84954,0.00103962,0.00103962,0.00103962
19,355.395,0.62427,0.44854,0.8867,0.90771,0.93894,0.94707,0.79654,0.61818,0.41515,0.84821,0.00102725,0.00102725,0.00102725
20,373.503,0.62382,0.44354,0.88376,0.90565,0.92346,0.93503,0.78164,0.61379,0.43221,0.83931,0.00101488,0.00101488,0.00101488
21,391.86,0.5998,0.42381,0.87676,0.92037,0.88911,0.92906,0.76939,0.63696,0.44382,0.85606,0.0010025,0.0010025,0.0010025
22,410.631,0.60167,0.41919,0.87775,0.93137,0.91205,0.95322,0.78998,0.61638,0.40345,0.85767,0.000990125,0.000990125,0.000990125
